class_name,subject,topic,question,answer,correct
IX,Science,The Fundamental Unit of Life,<p>The atmosphere is held to the earth by<br /><br /></p>,|Gravity|Wind|Cloud|Earth’s magnetic field,
IX,Science,The Fundamental Unit of Life,<p>The force of attraction between two unit point masses separated by a unit distance is called<br /><br /></p>,|Gravitational potential|Acceleration due to gravity|Gravitational field|Universal gravitational constant,Gravitational field
IX,Science,The Fundamental Unit of Life,<p>The weight of an object at the centre of the earth of radius R is<br /><br /></p>,|Zero|Infinite|R times the weight at the surface of the earth|1/ R² times the weight at surface of the earth,
IX,Science,The Fundamental Unit of Life,<p>An object weights 10 N in air. When immersed fully in water, it weighs only 8 N. The weight of the liquid displaced by the object is<br /><br /></p>,|2 N|8 N|10 N|12 N,
IX,Science,The Fundamental Unit of Life,<p>A girl stands on a box having 60 cm length, 40 cm breadth and 20 cm width in three ways. In which of the following cases, pressure exerted by the brick will be<br /><br /></p>,|Maximum when length and breadth form the base|Maximum when breadth and width form the base|Maximum when width and length form the base|The same when width and length form the base,Maximum when length and breadth form the base
IX,Science,The Fundamental Unit of Life,<p>An apple falls from a tree because of gravitational attraction between the earth and apple. If F₁ is the magnitude of force exerted by the earth on the apple and F₂ is the magnitude of force ex,|F₁ is very much greater than F₂|F₂ is very much greater than F₁|F₁ is only a little greater than F₂|F₁ and F₂ are equal,F₁ is only a little greater than F₂
IX,Science,The Fundamental Unit of Life,<p>The largest cell in the human body is</p>,|Nerve cell |Muscle cell |Liver cell |Kidney cell ,
IX,Science,The Fundamental Unit of Life,<p>The barrier between the protoplasm and the other environment in&nbsp; an&nbsp;&nbsp; animal cells</p>,|Cell wall |Nuclear membrane |Tonoplast|Plasma membrane ,Tonoplast
IX,Science,The Fundamental Unit of Life,<p>The term &lsquo;Cell&rsquo; was given by</p>,|Leeuwenhoek |Robert hooke |Flemming |Robert Brown ,Leeuwenhoek 
IX,Science,The Fundamental Unit of Life,<p>Who proposed the cell theory?</p>,|Schleiden and Schwann |Watson and Crick |Darwin and Wallace |Mendel and Morgan ,
IX,Science,The Fundamental Unit of Life,<p>A plant cell differs from an animal cell in the absence of</p>,|Endoplasmic Reticulum |Mitochondria|Ribosome |Centrioles ,Ribosome 
IX,Science,The Fundamental Unit of Life,<p>Centrosome is found in</p>,|Cytoplasm |Nucleus |Chromosomes |Nucleolus ,
IX,Science,The Fundamental Unit of Life,<p>The power house of a cell is</p>,|Chloroplast |Mitochondrion |Golgi apparatus |Nucleolus ,Chloroplast 
IX,Science,The Fundamental Unit of Life,<p>Within a cell the site of respiration (oxidation) is the</p>,|Ribosome |Golgi apparatus |Mitochondrion |Endoplasmic Reticulum ,Golgi apparatus 
IX,Science,The Fundamental Unit of Life,<p>Which is called &lsquo;Suicidal Bag&rsquo;</p>,|Centrosome |Lysosome |Mesosome |Chromosome ,Centrosome 
IX,Science,The Fundamental Unit of Life,<p>Cell organelle found only in Plant is</p>,|Golgi apparatus |Mitochondria |Plastids |Ribosomes ,Mitochondria 
